1NN,NNStandardisation,NNWeighted,NNLOOCV
0.8691967575534266,0.8690248096290836,0.8690248096290836,0.8686563497912061
0.7044444444444444,0.6934814814814814,0.6934814814814815,0.7422222222222222
0.955360623781676,0.9545808966861595,0.9545808966861595,0.9561403508771927
0.684375,0.6895833333333333,0.6895833333333333,0.68125
0.7566875653082549,0.7559038662486939,0.7559038662486939,0.7559038662486938
0.8661375661375664,0.8613756613756617,0.8613756613756617,0.8539682539682543
0.9975308641975308,0.9971941638608305,0.9971941638608305,0.9971941638608305
0.806600660066007,0.8039603960396041,0.8039603960396041,0.8036303630363039
0.697948717948718,0.6938461538461539,0.693846153846154,0.6953846153846155
0.541941391941392,0.5292124542124542,0.5292124542124542,0.5280219780219781
0.9418470418470417,0.365031265031265,0.36503126503126493,0.36503126503126493
0.8534591194968555,0.85,0.85,0.8496855345911953
0.9437037037037038,0.9422222222222223,0.9422222222222223,0.9400000000000001
0.8256880733944953,0.8256880733944955,0.8256880733944953,0.8256880733944955
0.7105320304017374,0.7116178067318131,0.7116178067318134,0.7089033659066232
0.8936739659367396,0.893552311435523,0.8935523114355228,0.8928223844282236
0.9766646907725746,0.9766844497134953,0.9766844497134953,0.9766844497134953
0.9533070521243979,0.9529566360052564,0.9529566360052564,0.9616294349540079
0.9612667478684533,0.9584449857896874,0.9584449857896874,0.9584449857896872
0.9265536723163843,0.9265536723163842,0.926553672316384,0.9265536723163839
0.6000000000000001,0.6012121212121213,0.6012121212121213,0.5915151515151515
0.5345238095238096,0.5404761904761907,0.5404761904761906,0.6535714285714286
0.7413963963963964,0.7416216216216216,0.7416216216216216,0.7416216216216217
0.9285714285714287,0.9317460317460319,0.9317460317460319,0.9280423280423282
0.9071445812213373,0.9023171614771905,0.9023171614771905,0.9023171614771907
0.9027619540825135,0.9015881235974452,0.9015881235974452,0.9015881235974454
0.6930446194225722,0.6910761154855642,0.6910761154855642,0.6912073490813648
0.7215551743853629,0.7204116638078901,0.7204116638078902,0.7204116638078902
0.9674074074074073,0.9683333333333333,0.9683333333333333,0.9675925925925924
0.9457807807807809,0.9462462462462462,0.9462462462462461,0.9467717717717719
0.7845878136200717,0.779569892473118,0.7795698924731179,0.779569892473118
0.8747505599674201,0.8746080228059459,0.8746080228059459,0.874608022805946
0.7131555555555554,0.7137777777777781,0.7137777777777777,0.7137777777777777
0.623061224489796,0.6225623582766441,0.6225623582766441,0.6225623582766441
0.5233931240657698,0.5187593423019432,0.5187593423019432,0.5187593423019432
